n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,151992
20|20|0.01,0,1,147571
20|20|0.01,0,2,145971
20|20|0.01,0,3,145971
20|20|0.01,0,4,144675
20|20|0.01,0,5,142152
20|20|0.01,0,6,141435
20|20|0.01,0,7,141435
20|20|0.01,0,8,140936
20|20|0.01,0,9,140936
20|20|0.01,0,10,133967
20|20|0.01,0,11,133967
20|20|0.01,0,12,133967
20|20|0.01,0,13,133967
20|20|0.01,0,14,133967
20|20|0.01,0,15,133967
20|20|0.01,0,16,133967
20|20|0.01,0,17,133967
20|20|0.01,0,18,133967
20|20|0.01,0,19,132937
20|20|0.01,1,0,153481
20|20|0.01,1,1,153481
20|20|0.01,1,2,153481
20|20|0.01,1,3,151871
20|20|0.01,1,4,151871
20|20|0.01,1,5,151192
20|20|0.01,1,6,150477
20|20|0.01,1,7,149751
20|20|0.01,1,8,148243
20|20|0.01,1,9,144217
20|20|0.01,1,10,142714
20|20|0.01,1,11,142714
20|20|0.01,1,12,140457
20|20|0.01,1,13,139533
20|20|0.01,1,14,139533
20|20|0.01,1,15,139533
20|20|0.01,1,16,137277
20|20|0.01,1,17,137277
20|20|0.01,1,18,137277
20|20|0.01,1,19,136071
20|20|0.01,2,0,154250
20|20|0.01,2,1,154250
20|20|0.01,2,2,152461
20|20|0.01,2,3,152461
20|20|0.01,2,4,144222
20|20|0.01,2,5,135143
20|20|0.01,2,6,131349
20|20|0.01,2,7,129445
20|20|0.01,2,8,129445
20|20|0.01,2,9,129333
20|20|0.01,2,10,129161
20|20|0.01,2,11,127759
20|20|0.01,2,12,127759
20|20|0.01,2,13,126745
20|20|0.01,2,14,125381
20|20|0.01,2,15,125381
20|20|0.01,2,16,125265
20|20|0.01,2,17,125265
20|20|0.01,2,18,123446
20|20|0.01,2,19,122905
20|20|0.01,3,0,152326
20|20|0.01,3,1,152326
20|20|0.01,3,2,152275
20|20|0.01,3,3,152275
20|20|0.01,3,4,152275
20|20|0.01,3,5,152275
20|20|0.01,3,6,150291
20|20|0.01,3,7,146555
20|20|0.01,3,8,145463
20|20|0.01,3,9,143758
20|20|0.01,3,10,143476
20|20|0.01,3,11,142577
20|20|0.01,3,12,140590
20|20|0.01,3,13,140590
20|20|0.01,3,14,140042
20|20|0.01,3,15,138708
20|20|0.01,3,16,134398
20|20|0.01,3,17,134398
20|20|0.01,3,18,134398
20|20|0.01,3,19,133595
20|20|0.01,4,0,155782
20|20|0.01,4,1,155782
20|20|0.01,4,2,143228
20|20|0.01,4,3,143228
20|20|0.01,4,4,143228
20|20|0.01,4,5,143228
20|20|0.01,4,6,143228
20|20|0.01,4,7,142139
20|20|0.01,4,8,140582
20|20|0.01,4,9,140582
20|20|0.01,4,10,138635
20|20|0.01,4,11,138635
20|20|0.01,4,12,138635
20|20|0.01,4,13,138635
20|20|0.01,4,14,138635
20|20|0.01,4,15,137664
20|20|0.01,4,16,137664
20|20|0.01,4,17,135891
20|20|0.01,4,18,135663
20|20|0.01,4,19,134137
20|20|0.01,5,0,152721
20|20|0.01,5,1,151468
20|20|0.01,5,2,149715
20|20|0.01,5,3,138735
20|20|0.01,5,4,138735
20|20|0.01,5,5,138735
20|20|0.01,5,6,138731
20|20|0.01,5,7,135982
20|20|0.01,5,8,135982
20|20|0.01,5,9,132354
20|20|0.01,5,10,132165
20|20|0.01,5,11,132165
20|20|0.01,5,12,128983
20|20|0.01,5,13,128983
20|20|0.01,5,14,128983
20|20|0.01,5,15,128955
20|20|0.01,5,16,128742
20|20|0.01,5,17,128508
20|20|0.01,5,18,128401
20|20|0.01,5,19,127810
20|20|0.01,6,0,155207
20|20|0.01,6,1,155207
20|20|0.01,6,2,155207
20|20|0.01,6,3,150194
20|20|0.01,6,4,150194
20|20|0.01,6,5,150194
20|20|0.01,6,6,147274
20|20|0.01,6,7,145177
20|20|0.01,6,8,143892
20|20|0.01,6,9,141540
20|20|0.01,6,10,141540
20|20|0.01,6,11,141540
20|20|0.01,6,12,139392
20|20|0.01,6,13,138054
20|20|0.01,6,14,137048
20|20|0.01,6,15,137048
20|20|0.01,6,16,137048
20|20|0.01,6,17,134242
20|20|0.01,6,18,134242
20|20|0.01,6,19,134242
20|20|0.01,7,0,160977
20|20|0.01,7,1,156871
20|20|0.01,7,2,148044
20|20|0.01,7,3,148044
20|20|0.01,7,4,145107
20|20|0.01,7,5,140435
20|20|0.01,7,6,138924
20|20|0.01,7,7,134749
20|20|0.01,7,8,134749
20|20|0.01,7,9,134749
20|20|0.01,7,10,134749
20|20|0.01,7,11,134749
20|20|0.01,7,12,134327
20|20|0.01,7,13,134327
20|20|0.01,7,14,132303
20|20|0.01,7,15,130901
20|20|0.01,7,16,130901
20|20|0.01,7,17,127002
20|20|0.01,7,18,125314
20|20|0.01,7,19,125314
20|20|0.01,8,0,148307
20|20|0.01,8,1,148307
