n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,584
20|20|0.01,0,1,543
20|20|0.01,0,2,543
20|20|0.01,0,3,536
20|20|0.01,0,4,504
20|20|0.01,0,5,504
20|20|0.01,0,6,504
20|20|0.01,0,7,504
20|20|0.01,0,8,494
20|20|0.01,0,9,457
20|20|0.01,0,10,457
20|20|0.01,0,11,457
20|20|0.01,0,12,457
20|20|0.01,0,13,457
20|20|0.01,0,14,457
20|20|0.01,0,15,451
20|20|0.01,0,16,451
20|20|0.01,0,17,451
20|20|0.01,0,18,451
20|20|0.01,0,19,451
20|20|0.01,1,0,547
20|20|0.01,1,1,522
20|20|0.01,1,2,503
20|20|0.01,1,3,503
20|20|0.01,1,4,503
20|20|0.01,1,5,503
20|20|0.01,1,6,495
20|20|0.01,1,7,495
20|20|0.01,1,8,428
20|20|0.01,1,9,428
20|20|0.01,1,10,428
20|20|0.01,1,11,428
20|20|0.01,1,12,428
20|20|0.01,1,13,419
20|20|0.01,1,14,419
20|20|0.01,1,15,418
20|20|0.01,1,16,418
20|20|0.01,1,17,418
20|20|0.01,1,18,418
20|20|0.01,1,19,418
20|20|0.01,2,0,514
20|20|0.01,2,1,514
20|20|0.01,2,2,506
20|20|0.01,2,3,506
20|20|0.01,2,4,506
20|20|0.01,2,5,506
20|20|0.01,2,6,465
20|20|0.01,2,7,458
20|20|0.01,2,8,457
20|20|0.01,2,9,455
20|20|0.01,2,10,455
20|20|0.01,2,11,455
20|20|0.01,2,12,439
20|20|0.01,2,13,439
20|20|0.01,2,14,439
20|20|0.01,2,15,439
20|20|0.01,2,16,439
20|20|0.01,2,17,439
20|20|0.01,2,18,439
20|20|0.01,2,19,439
20|20|0.01,3,0,487
20|20|0.01,3,1,487
20|20|0.01,3,2,447
20|20|0.01,3,3,447
20|20|0.01,3,4,447
20|20|0.01,3,5,447
20|20|0.01,3,6,410
20|20|0.01,3,7,410
20|20|0.01,3,8,410
20|20|0.01,3,9,392
20|20|0.01,3,10,392
20|20|0.01,3,11,392
20|20|0.01,3,12,392
20|20|0.01,3,13,392
20|20|0.01,3,14,392
20|20|0.01,3,15,392
20|20|0.01,3,16,392
20|20|0.01,3,17,392
20|20|0.01,3,18,392
20|20|0.01,3,19,377
20|20|0.01,4,0,594
20|20|0.01,4,1,581
20|20|0.01,4,2,557
20|20|0.01,4,3,523
20|20|0.01,4,4,523
20|20|0.01,4,5,410
20|20|0.01,4,6,410
20|20|0.01,4,7,402
20|20|0.01,4,8,402
20|20|0.01,4,9,402
20|20|0.01,4,10,402
20|20|0.01,4,11,402
20|20|0.01,4,12,402
20|20|0.01,4,13,402
20|20|0.01,4,14,402
20|20|0.01,4,15,398
20|20|0.01,4,16,398
20|20|0.01,4,17,398
20|20|0.01,4,18,398
20|20|0.01,4,19,398
20|20|0.01,5,0,586
20|20|0.01,5,1,586
20|20|0.01,5,2,563
20|20|0.01,5,3,563
20|20|0.01,5,4,554
20|20|0.01,5,5,518
20|20|0.01,5,6,518
20|20|0.01,5,7,518
20|20|0.01,5,8,518
20|20|0.01,5,9,499
20|20|0.01,5,10,499
20|20|0.01,5,11,490
20|20|0.01,5,12,490
20|20|0.01,5,13,473
20|20|0.01,5,14,473
20|20|0.01,5,15,473
20|20|0.01,5,16,453
20|20|0.01,5,17,422
20|20|0.01,5,18,417
20|20|0.01,5,19,417
20|20|0.01,6,0,616
20|20|0.01,6,1,570
20|20|0.01,6,2,561
20|20|0.01,6,3,561
20|20|0.01,6,4,561
20|20|0.01,6,5,513
20|20|0.01,6,6,502
20|20|0.01,6,7,491
20|20|0.01,6,8,491
20|20|0.01,6,9,491
20|20|0.01,6,10,491
20|20|0.01,6,11,445
20|20|0.01,6,12,437
20|20|0.01,6,13,408
20|20|0.01,6,14,403
20|20|0.01,6,15,403
20|20|0.01,6,16,403
20|20|0.01,6,17,403
20|20|0.01,6,18,390
20|20|0.01,6,19,390
20|20|0.01,7,0,514
20|20|0.01,7,1,502
20|20|0.01,7,2,461
20|20|0.01,7,3,461
20|20|0.01,7,4,461
20|20|0.01,7,5,461
20|20|0.01,7,6,461
20|20|0.01,7,7,457
