n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,291.0
20|20|0.01,0,1,291.0
20|20|0.01,0,2,291.0
20|20|0.01,0,3,291.0
20|20|0.01,0,4,291.0
20|20|0.01,0,5,291.0
20|20|0.01,0,6,291.0
20|20|0.01,0,7,291.0
20|20|0.01,0,8,291.0
20|20|0.01,0,9,291.0
20|20|0.01,0,10,291.0
20|20|0.01,0,11,291.0
20|20|0.01,0,12,291.0
20|20|0.01,0,13,291.0
20|20|0.01,0,14,291.0
20|20|0.01,0,15,291.0
20|20|0.01,0,16,291.0
20|20|0.01,0,17,291.0
20|20|0.01,0,18,291.0
20|20|0.01,0,19,291.0
20|20|0.01,1,0,299.0
20|20|0.01,1,1,299.0
20|20|0.01,1,2,299.0
20|20|0.01,1,3,299.0
20|20|0.01,1,4,299.0
20|20|0.01,1,5,299.0
20|20|0.01,1,6,299.0
20|20|0.01,1,7,299.0
20|20|0.01,1,8,299.0
20|20|0.01,1,9,291.0
20|20|0.01,1,10,291.0
20|20|0.01,1,11,291.0
20|20|0.01,1,12,291.0
20|20|0.01,1,13,291.0
20|20|0.01,1,14,291.0
20|20|0.01,1,15,291.0
20|20|0.01,1,16,291.0
20|20|0.01,1,17,291.0
20|20|0.01,1,18,291.0
20|20|0.01,1,19,291.0
20|20|0.01,2,0,299.0
20|20|0.01,2,1,299.0
20|20|0.01,2,2,299.0
20|20|0.01,2,3,299.0
20|20|0.01,2,4,299.0
20|20|0.01,2,5,299.0
20|20|0.01,2,6,299.0
20|20|0.01,2,7,299.0
20|20|0.01,2,8,299.0
20|20|0.01,2,9,299.0
20|20|0.01,2,10,299.0
20|20|0.01,2,11,299.0
20|20|0.01,2,12,299.0
20|20|0.01,2,13,299.0
20|20|0.01,2,14,299.0
20|20|0.01,2,15,299.0
20|20|0.01,2,16,299.0
20|20|0.01,2,17,299.0
20|20|0.01,2,18,299.0
20|20|0.01,2,19,299.0
20|20|0.01,3,0,291.0
20|20|0.01,3,1,291.0
20|20|0.01,3,2,291.0
20|20|0.01,3,3,291.0
20|20|0.01,3,4,291.0
20|20|0.01,3,5,291.0
20|20|0.01,3,6,291.0
20|20|0.01,3,7,291.0
20|20|0.01,3,8,291.0
20|20|0.01,3,9,291.0
20|20|0.01,3,10,291.0
20|20|0.01,3,11,291.0
20|20|0.01,3,12,291.0
20|20|0.01,3,13,291.0
20|20|0.01,3,14,291.0
20|20|0.01,3,15,291.0
20|20|0.01,3,16,291.0
20|20|0.01,3,17,291.0
20|20|0.01,3,18,291.0
20|20|0.01,3,19,291.0
20|20|0.01,4,0,299.0
20|20|0.01,4,1,299.0
20|20|0.01,4,2,299.0
20|20|0.01,4,3,299.0
20|20|0.01,4,4,299.0
20|20|0.01,4,5,299.0
20|20|0.01,4,6,299.0
20|20|0.01,4,7,299.0
20|20|0.01,4,8,299.0
20|20|0.01,4,9,299.0
20|20|0.01,4,10,299.0
20|20|0.01,4,11,299.0
20|20|0.01,4,12,299.0
20|20|0.01,4,13,299.0
20|20|0.01,4,14,299.0
20|20|0.01,4,15,299.0
20|20|0.01,4,16,299.0
20|20|0.01,4,17,299.0
20|20|0.01,4,18,299.0
20|20|0.01,4,19,299.0
20|20|0.01,5,0,299.0
20|20|0.01,5,1,299.0
20|20|0.01,5,2,299.0
20|20|0.01,5,3,299.0
20|20|0.01,5,4,299.0
20|20|0.01,5,5,299.0
20|20|0.01,5,6,299.0
20|20|0.01,5,7,299.0
20|20|0.01,5,8,299.0
20|20|0.01,5,9,299.0
20|20|0.01,5,10,299.0
20|20|0.01,5,11,299.0
20|20|0.01,5,12,299.0
20|20|0.01,5,13,299.0
20|20|0.01,5,14,299.0
20|20|0.01,5,15,299.0
20|20|0.01,5,16,299.0
20|20|0.01,5,17,299.0
20|20|0.01,5,18,299.0
20|20|0.01,5,19,299.0
20|20|0.01,6,0,317.0
20|20|0.01,6,1,317.0
20|20|0.01,6,2,317.0
20|20|0.01,6,3,317.0
20|20|0.01,6,4,317.0
20|20|0.01,6,5,317.0
20|20|0.01,6,6,317.0
20|20|0.01,6,7,317.0
20|20|0.01,6,8,317.0
20|20|0.01,6,9,317.0
20|20|0.01,6,10,317.0
20|20|0.01,6,11,317.0
20|20|0.01,6,12,317.0
20|20|0.01,6,13,317.0
20|20|0.01,6,14,317.0
20|20|0.01,6,15,317.0
20|20|0.01,6,16,317.0
20|20|0.01,6,17,317.0
20|20|0.01,6,18,317.0
20|20|0.01,6,19,317.0
20|20|0.01,7,0,291.0
20|20|0.01,7,1,291.0
20|20|0.01,7,2,291.0
20|20|0.01,7,3,291.0
20|20|0.01,7,4,291.0
20|20|0.01,7,5,291.0
20|20|0.01,7,6,291.0
20|20|0.01,7,7,291.0
20|20|0.01,7,8,291.0
20|20|0.01,7,9,291.0
20|20|0.01,7,10,291.0
20|20|0.01,7,11,291.0
20|20|0.01,7,12,291.0
20|20|0.01,7,13,291.0
20|20|0.01,7,14,291.0
20|20|0.01,7,15,291.0
20|20|0.01,7,16,291.0
20|20|0.01,7,17,291.0
20|20|0.01,7,18,291.0
20|20|0.01,7,19,291.0
20|20|0.01,8,0,299.0
20|20|0.01,8,1,299.0
20|20|0.01,8,2,299.0
20|20|0.01,8,3,299.0
20|20|0.01,8,4,299.0
20|20|0.01,8,5,299.0
20|20|0.01,8,6,299.0
20|20|0.01,8,7,299.0
20|20|0.01,8,8,299.0
20|20|0.01,8,9,299.0
20|20|0.01,8,10,299.0
20|20|0.01,8,11,299.0
20|20|0.01,8,12,299.0
20|20|0.01,8,13,299.0
20|20|0.01,8,14,299.0
20|20|0.01,8,15,299.0
20|20|0.01,8,16,299.0
20|20|0.01,8,17,299.0
20|20|0.01,8,18,299.0
20|20|0.01,8,19,299.0
20|20|0.01,9,0,299.0
20|20|0.01,9,1,299.0
20|20|0.01,9,2,299.0
20|20|0.01,9,3,299.0
20|20|0.01,9,4,299.0
20|20|0.01,9,5,299.0
20|20|0.01,9,6,299.0
20|20|0.01,9,7,299.0
20|20|0.01,9,8,299.0
20|20|0.01,9,9,299.0
20|20|0.01,9,10,299.0
20|20|0.01,9,11,299.0
20|20|0.01,9,12,299.0
20|20|0.01,9,13,299.0
20|20|0.01,9,14,299.0
20|20|0.01,9,15,299.0
20|20|0.01,9,16,299.0
20|20|0.01,9,17,299.0
20|20|0.01,9,18,299.0
20|20|0.01,9,19,299.0
20|20|0.05,0,0,291.0
20|20|0.05,0,1,291.0
20|20|0.05,0,2,291.0
20|20|0.05,0,3,291.0
20|20|0.05,0,4,291.0
20|20|0.05,0,5,291.0
20|20|0.05,0,6,291.0
20|20|0.05,0,7,291.0
20|20|0.05,0,8,291.0
20|20|0.05,0,9,291.0
20|20|0.05,0,10,291.0
20|20|0.05,0,11,291.0
20|20|0.05,0,12,291.0
20|20|0.05,0,13,291.0
20|20|0.05,0,14,291.0
20|20|0.05,0,15,291.0
20|20|0.05,0,16,291.0
20|20|0.05,0,17,291.0
20|20|0.05,0,18,291.0
20|20|0.05,0,19,291.0
20|20|0.05,1,0,299.0
20|20|0.05,1,1,299.0
20|20|0.05,1,2,299.0
20|20|0.05,1,3,299.0
20|20|0.05,1,4,299.0
20|20|0.05,1,5,299.0
20|20|0.05,1,6,299.0
20|20|0.05,1,7,299.0
20|20|0.05,1,8,299.0
20|20|0.05,1,9,299.0
20|20|0.05,1,10,299.0
20|20|0.05,1,11,299.0
20|20|0.05,1,12,299.0
20|20|0.05,1,13,299.0
20|20|0.05,1,14,299.0
20|20|0.05,1,15,299.0
20|20|0.05,1,16,299.0
20|20|0.05,1,17,299.0
20|20|0.05,1,18,299.0
20|20|0.05,1,19,299.0
20|20|0.05,2,0,299.0
20|20|0.05,2,1,299.0
20|20|0.05,2,2,299.0
20|20|0.05,2,3,299.0
20|20|0.05,2,4,299.0
20|20|0.05,2,5,299.0
20|20|0.05,2,6,299.0
20|20|0.05,2,7,299.0
20|20|0.05,2,8,299.0
20|20|0.05,2,9,299.0
20|20|0.05,2,10,299.0
20|20|0.05,2,11,299.0
20|20|0.05,2,12,299.0
20|20|0.05,2,13,299.0
20|20|0.05,2,14,299.0
20|20|0.05,2,15,299.0
20|20|0.05,2,16,299.0
20|20|0.05,2,17,299.0
20|20|0.05,2,18,299.0
20|20|0.05,2,19,299.0
20|20|0.05,3,0,291.0
20|20|0.05,3,1,291.0
20|20|0.05,3,2,291.0
20|20|0.05,3,3,291.0
20|20|0.05,3,4,291.0
20|20|0.05,3,5,291.0
20|20|0.05,3,6,291.0
20|20|0.05,3,7,291.0
20|20|0.05,3,8,291.0
20|20|0.05,3,9,291.0
20|20|0.05,3,10,291.0
20|20|0.05,3,11,291.0
20|20|0.05,3,12,291.0
20|20|0.05,3,13,291.0
20|20|0.05,3,14,291.0
