n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,27703.0
20|20|0.01,0,1,27703.0
20|20|0.01,0,2,27703.0
20|20|0.01,0,3,27703.0
20|20|0.01,0,4,27703.0
20|20|0.01,0,5,27703.0
20|20|0.01,0,6,27703.0
20|20|0.01,0,7,27703.0
20|20|0.01,0,8,27703.0
20|20|0.01,0,9,27703.0
20|20|0.01,0,10,27703.0
20|20|0.01,0,11,27703.0
20|20|0.01,0,12,27703.0
20|20|0.01,0,13,27703.0
20|20|0.01,0,14,27703.0
20|20|0.01,0,15,27703.0
20|20|0.01,0,16,27703.0
20|20|0.01,0,17,27703.0
20|20|0.01,0,18,27703.0
20|20|0.01,0,19,27703.0
20|20|0.01,1,0,27000.0
20|20|0.01,1,1,27000.0
20|20|0.01,1,2,27000.0
20|20|0.01,1,3,27000.0
20|20|0.01,1,4,27000.0
20|20|0.01,1,5,27000.0
20|20|0.01,1,6,27000.0
20|20|0.01,1,7,27000.0
20|20|0.01,1,8,27000.0
20|20|0.01,1,9,27000.0
20|20|0.01,1,10,27000.0
20|20|0.01,1,11,27000.0
20|20|0.01,1,12,27000.0
20|20|0.01,1,13,27000.0
20|20|0.01,1,14,27000.0
20|20|0.01,1,15,27000.0
20|20|0.01,1,16,27000.0
20|20|0.01,1,17,27000.0
20|20|0.01,1,18,27000.0
20|20|0.01,1,19,27000.0
20|20|0.01,2,0,25228.0
20|20|0.01,2,1,25228.0
20|20|0.01,2,2,25228.0
20|20|0.01,2,3,25228.0
20|20|0.01,2,4,25228.0
20|20|0.01,2,5,25228.0
20|20|0.01,2,6,25228.0
20|20|0.01,2,7,25228.0
20|20|0.01,2,8,25228.0
20|20|0.01,2,9,25228.0
20|20|0.01,2,10,25228.0
20|20|0.01,2,11,25228.0
20|20|0.01,2,12,25228.0
20|20|0.01,2,13,25228.0
20|20|0.01,2,14,25228.0
20|20|0.01,2,15,25228.0
20|20|0.01,2,16,25228.0
20|20|0.01,2,17,25228.0
20|20|0.01,2,18,25228.0
20|20|0.01,2,19,25228.0
20|20|0.01,3,0,27741.0
20|20|0.01,3,1,27741.0
20|20|0.01,3,2,27741.0
20|20|0.01,3,3,27741.0
20|20|0.01,3,4,27741.0
20|20|0.01,3,5,27741.0
20|20|0.01,3,6,27741.0
20|20|0.01,3,7,27741.0
20|20|0.01,3,8,27741.0
20|20|0.01,3,9,27741.0
20|20|0.01,3,10,27741.0
20|20|0.01,3,11,27741.0
20|20|0.01,3,12,27741.0
20|20|0.01,3,13,27741.0
20|20|0.01,3,14,27741.0
20|20|0.01,3,15,27741.0
20|20|0.01,3,16,27741.0
20|20|0.01,3,17,27741.0
20|20|0.01,3,18,27741.0
20|20|0.01,3,19,27741.0
20|20|0.01,4,0,26451.0
20|20|0.01,4,1,26451.0
20|20|0.01,4,2,26451.0
20|20|0.01,4,3,26451.0
20|20|0.01,4,4,26451.0
20|20|0.01,4,5,26451.0
20|20|0.01,4,6,26451.0
20|20|0.01,4,7,26451.0
20|20|0.01,4,8,26451.0
20|20|0.01,4,9,26451.0
20|20|0.01,4,10,26451.0
20|20|0.01,4,11,26451.0
20|20|0.01,4,12,26451.0
20|20|0.01,4,13,26451.0
20|20|0.01,4,14,26451.0
20|20|0.01,4,15,26451.0
20|20|0.01,4,16,26451.0
20|20|0.01,4,17,26451.0
20|20|0.01,4,18,26451.0
20|20|0.01,4,19,26451.0
20|20|0.01,5,0,28299.0
20|20|0.01,5,1,28299.0
20|20|0.01,5,2,28299.0
20|20|0.01,5,3,28299.0
20|20|0.01,5,4,28299.0
20|20|0.01,5,5,28299.0
20|20|0.01,5,6,28299.0
20|20|0.01,5,7,28299.0
20|20|0.01,5,8,28299.0
20|20|0.01,5,9,28299.0
20|20|0.01,5,10,28299.0
20|20|0.01,5,11,28299.0
20|20|0.01,5,12,28299.0
20|20|0.01,5,13,28299.0
20|20|0.01,5,14,28299.0
20|20|0.01,5,15,28299.0
20|20|0.01,5,16,28299.0
20|20|0.01,5,17,28299.0
20|20|0.01,5,18,28299.0
20|20|0.01,5,19,28299.0
20|20|0.01,6,0,30315.0
20|20|0.01,6,1,30315.0
20|20|0.01,6,2,30315.0
20|20|0.01,6,3,30315.0
20|20|0.01,6,4,30315.0
20|20|0.01,6,5,30315.0
20|20|0.01,6,6,30315.0
20|20|0.01,6,7,30315.0
20|20|0.01,6,8,30315.0
20|20|0.01,6,9,30315.0
20|20|0.01,6,10,30315.0
20|20|0.01,6,11,30315.0
20|20|0.01,6,12,30315.0
20|20|0.01,6,13,30315.0
20|20|0.01,6,14,30315.0
20|20|0.01,6,15,30315.0
20|20|0.01,6,16,30315.0
20|20|0.01,6,17,30315.0
20|20|0.01,6,18,30315.0
20|20|0.01,6,19,30315.0
20|20|0.01,7,0,27604.0
20|20|0.01,7,1,27604.0
20|20|0.01,7,2,27604.0
20|20|0.01,7,3,27604.0
20|20|0.01,7,4,27604.0
20|20|0.01,7,5,27604.0
20|20|0.01,7,6,27604.0
20|20|0.01,7,7,27604.0
20|20|0.01,7,8,27604.0
20|20|0.01,7,9,27604.0
20|20|0.01,7,10,27604.0
20|20|0.01,7,11,27604.0
20|20|0.01,7,12,27604.0
20|20|0.01,7,13,27604.0
20|20|0.01,7,14,27604.0
20|20|0.01,7,15,27604.0
20|20|0.01,7,16,27604.0
20|20|0.01,7,17,27604.0
20|20|0.01,7,18,27604.0
20|20|0.01,7,19,27604.0
20|20|0.01,8,0,27173.0
20|20|0.01,8,1,27173.0
20|20|0.01,8,2,27173.0
20|20|0.01,8,3,27173.0
20|20|0.01,8,4,27173.0
20|20|0.01,8,5,27173.0
20|20|0.01,8,6,27173.0
20|20|0.01,8,7,27173.0
20|20|0.01,8,8,27173.0
20|20|0.01,8,9,27173.0
