n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.01,0,0,548.0
20|20|0.01,0,1,451.0
20|20|0.01,0,2,451.0
20|20|0.01,0,3,451.0
20|20|0.01,0,4,451.0
20|20|0.01,0,5,449.0
20|20|0.01,0,6,449.0
20|20|0.01,0,7,439.0
20|20|0.01,0,8,439.0
20|20|0.01,0,9,439.0
20|20|0.01,0,10,421.0
20|20|0.01,0,11,421.0
20|20|0.01,0,12,421.0
20|20|0.01,0,13,421.0
20|20|0.01,0,14,393.0
20|20|0.01,0,15,393.0
20|20|0.01,0,16,357.0
20|20|0.01,0,17,357.0
20|20|0.01,0,18,357.0
20|20|0.01,0,19,354.0
20|20|0.01,1,0,544.0
20|20|0.01,1,1,544.0
20|20|0.01,1,2,544.0
20|20|0.01,1,3,511.0
20|20|0.01,1,4,511.0
20|20|0.01,1,5,511.0
20|20|0.01,1,6,511.0
20|20|0.01,1,7,511.0
20|20|0.01,1,8,480.0
20|20|0.01,1,9,480.0
20|20|0.01,1,10,468.0
20|20|0.01,1,11,468.0
20|20|0.01,1,12,429.0
20|20|0.01,1,13,429.0
20|20|0.01,1,14,429.0
20|20|0.01,1,15,429.0
20|20|0.01,1,16,429.0
20|20|0.01,1,17,429.0
20|20|0.01,1,18,404.0
20|20|0.01,1,19,404.0
20|20|0.01,2,0,562.0
20|20|0.01,2,1,562.0
20|20|0.01,2,2,562.0
20|20|0.01,2,3,526.0
20|20|0.01,2,4,526.0
20|20|0.01,2,5,522.0
20|20|0.01,2,6,522.0
20|20|0.01,2,7,497.0
20|20|0.01,2,8,488.0
20|20|0.01,2,9,488.0
20|20|0.01,2,10,488.0
20|20|0.01,2,11,488.0
20|20|0.01,2,12,488.0
20|20|0.01,2,13,488.0
20|20|0.01,2,14,488.0
20|20|0.01,2,15,488.0
20|20|0.01,2,16,488.0
20|20|0.01,2,17,488.0
20|20|0.01,2,18,488.0
20|20|0.01,2,19,481.0
20|20|0.01,3,0,560.0
20|20|0.01,3,1,551.0
20|20|0.01,3,2,522.0
20|20|0.01,3,3,522.0
20|20|0.01,3,4,522.0
20|20|0.01,3,5,494.0
20|20|0.01,3,6,466.0
20|20|0.01,3,7,465.0
20|20|0.01,3,8,433.0
20|20|0.01,3,9,433.0
20|20|0.01,3,10,430.0
20|20|0.01,3,11,430.0
20|20|0.01,3,12,430.0
20|20|0.01,3,13,430.0
20|20|0.01,3,14,430.0
20|20|0.01,3,15,430.0
20|20|0.01,3,16,394.0
20|20|0.01,3,17,394.0
20|20|0.01,3,18,394.0
20|20|0.01,3,19,394.0
20|20|0.01,4,0,555.0
20|20|0.01,4,1,551.0
20|20|0.01,4,2,551.0
20|20|0.01,4,3,551.0
20|20|0.01,4,4,551.0
20|20|0.01,4,5,551.0
20|20|0.01,4,6,517.0
20|20|0.01,4,7,517.0
20|20|0.01,4,8,484.0
20|20|0.01,4,9,484.0
20|20|0.01,4,10,443.0
20|20|0.01,4,11,443.0
20|20|0.01,4,12,443.0
20|20|0.01,4,13,443.0
20|20|0.01,4,14,443.0
20|20|0.01,4,15,443.0
20|20|0.01,4,16,443.0
20|20|0.01,4,17,443.0
20|20|0.01,4,18,443.0
20|20|0.01,4,19,443.0
20|20|0.01,5,0,594.0
20|20|0.01,5,1,594.0
20|20|0.01,5,2,580.0
20|20|0.01,5,3,575.0
20|20|0.01,5,4,488.0
20|20|0.01,5,5,483.0
20|20|0.01,5,6,483.0
20|20|0.01,5,7,473.0
20|20|0.01,5,8,461.0
20|20|0.01,5,9,449.0
20|20|0.01,5,10,449.0
20|20|0.01,5,11,449.0
20|20|0.01,5,12,449.0
20|20|0.01,5,13,449.0
20|20|0.01,5,14,449.0
20|20|0.01,5,15,423.0
20|20|0.01,5,16,423.0
20|20|0.01,5,17,423.0
20|20|0.01,5,18,422.0
20|20|0.01,5,19,422.0
20|20|0.01,6,0,532.0
20|20|0.01,6,1,520.0
20|20|0.01,6,2,498.0
20|20|0.01,6,3,498.0
20|20|0.01,6,4,498.0
20|20|0.01,6,5,493.0
20|20|0.01,6,6,473.0
20|20|0.01,6,7,473.0
20|20|0.01,6,8,457.0
20|20|0.01,6,9,457.0
20|20|0.01,6,10,415.0
20|20|0.01,6,11,415.0
20|20|0.01,6,12,411.0
20|20|0.01,6,13,384.0
20|20|0.01,6,14,384.0
20|20|0.01,6,15,383.0
20|20|0.01,6,16,364.0
20|20|0.01,6,17,364.0
20|20|0.01,6,18,357.0
20|20|0.01,6,19,357.0
20|20|0.01,7,0,513.0
20|20|0.01,7,1,513.0
20|20|0.01,7,2,513.0
20|20|0.01,7,3,479.0
20|20|0.01,7,4,479.0
20|20|0.01,7,5,479.0
20|20|0.01,7,6,479.0
20|20|0.01,7,7,479.0
20|20|0.01,7,8,469.0
20|20|0.01,7,9,457.0
20|20|0.01,7,10,454.0
20|20|0.01,7,11,454.0
20|20|0.01,7,12,454.0
20|20|0.01,7,13,454.0
20|20|0.01,7,14,448.0
20|20|0.01,7,15,445.0
20|20|0.01,7,16,445.0
20|20|0.01,7,17,445.0
20|20|0.01,7,18,445.0
20|20|0.01,7,19,445.0
20|20|0.01,8,0,541.0
20|20|0.01,8,1,541.0
20|20|0.01,8,2,541.0
20|20|0.01,8,3,541.0
20|20|0.01,8,4,536.0
20|20|0.01,8,5,524.0
20|20|0.01,8,6,524.0
20|20|0.01,8,7,501.0
20|20|0.01,8,8,459.0
20|20|0.01,8,9,459.0
20|20|0.01,8,10,459.0
20|20|0.01,8,11,459.0
20|20|0.01,8,12,459.0
20|20|0.01,8,13,459.0
20|20|0.01,8,14,448.0
20|20|0.01,8,15,448.0
20|20|0.01,8,16,430.0
20|20|0.01,8,17,430.0
20|20|0.01,8,18,422.0
20|20|0.01,8,19,422.0
20|20|0.01,9,0,527.0
20|20|0.01,9,1,527.0
20|20|0.01,9,2,527.0
20|20|0.01,9,3,517.0
20|20|0.01,9,4,473.0
20|20|0.01,9,5,473.0
20|20|0.01,9,6,473.0
20|20|0.01,9,7,473.0
20|20|0.01,9,8,473.0
20|20|0.01,9,9,464.0
20|20|0.01,9,10,403.0
20|20|0.01,9,11,403.0
20|20|0.01,9,12,403.0
20|20|0.01,9,13,403.0
20|20|0.01,9,14,403.0
20|20|0.01,9,15,403.0
20|20|0.01,9,16,403.0
20|20|0.01,9,17,403.0
20|20|0.01,9,18,403.0
20|20|0.01,9,19,403.0
20|20|0.05,0,0,529.0
20|20|0.05,0,1,529.0
20|20|0.05,0,2,529.0
20|20|0.05,0,3,509.0
20|20|0.05,0,4,509.0
20|20|0.05,0,5,509.0
20|20|0.05,0,6,503.0
20|20|0.05,0,7,460.0
20|20|0.05,0,8,460.0
20|20|0.05,0,9,460.0
20|20|0.05,0,10,460.0
20|20|0.05,0,11,444.0
20|20|0.05,0,12,444.0
20|20|0.05,0,13,444.0
20|20|0.05,0,14,436.0
20|20|0.05,0,15,436.0
20|20|0.05,0,16,419.0
20|20|0.05,0,17,419.0
20|20|0.05,0,18,419.0
20|20|0.05,0,19,411.0
20|20|0.05,1,0,583.0
20|20|0.05,1,1,561.0
20|20|0.05,1,2,543.0
20|20|0.05,1,3,543.0
20|20|0.05,1,4,543.0
20|20|0.05,1,5,520.0
20|20|0.05,1,6,505.0
20|20|0.05,1,7,505.0
20|20|0.05,1,8,503.0
20|20|0.05,1,9,502.0
20|20|0.05,1,10,459.0
20|20|0.05,1,11,455.0
20|20|0.05,1,12,455.0
20|20|0.05,1,13,442.0
20|20|0.05,1,14,442.0
20|20|0.05,1,15,437.0
20|20|0.05,1,16,437.0
20|20|0.05,1,17,437.0
20|20|0.05,1,18,437.0
20|20|0.05,1,19,437.0
20|20|0.05,2,0,574.0
20|20|0.05,2,1,553.0
20|20|0.05,2,2,518.0
20|20|0.05,2,3,495.0
20|20|0.05,2,4,495.0
20|20|0.05,2,5,484.0
20|20|0.05,2,6,484.0
20|20|0.05,2,7,475.0
20|20|0.05,2,8,475.0
20|20|0.05,2,9,475.0
20|20|0.05,2,10,475.0
20|20|0.05,2,11,475.0
20|20|0.05,2,12,475.0
20|20|0.05,2,13,475.0
20|20|0.05,2,14,475.0
20|20|0.05,2,15,475.0
20|20|0.05,2,16,475.0
20|20|0.05,2,17,475.0
20|20|0.05,2,18,475.0
20|20|0.05,2,19,475.0
20|20|0.05,3,0,511.0
20|20|0.05,3,1,511.0
20|20|0.05,3,2,511.0
20|20|0.05,3,3,479.0
20|20|0.05,3,4,479.0
20|20|0.05,3,5,479.0
20|20|0.05,3,6,471.0
20|20|0.05,3,7,434.0
20|20|0.05,3,8,434.0
20|20|0.05,3,9,434.0
20|20|0.05,3,10,434.0
20|20|0.05,3,11,429.0
20|20|0.05,3,12,418.0
20|20|0.05,3,13,392.0
20|20|0.05,3,14,392.0
20|20|0.05,3,15,392.0
20|20|0.05,3,16,392.0
20|20|0.05,3,17,388.0
20|20|0.05,3,18,388.0
20|20|0.05,3,19,388.0
20|20|0.05,4,0,549.0
20|20|0.05,4,1,541.0
20|20|0.05,4,2,541.0
20|20|0.05,4,3,520.0
20|20|0.05,4,4,520.0
20|20|0.05,4,5,511.0
20|20|0.05,4,6,477.0
20|20|0.05,4,7,477.0
20|20|0.05,4,8,477.0
20|20|0.05,4,9,474.0
20|20|0.05,4,10,452.0
20|20|0.05,4,11,435.0
20|20|0.05,4,12,435.0
20|20|0.05,4,13,435.0
20|20|0.05,4,14,433.0
20|20|0.05,4,15,423.0
20|20|0.05,4,16,423.0
20|20|0.05,4,17,423.0
20|20|0.05,4,18,423.0
20|20|0.05,4,19,423.0
20|20|0.05,5,0,543.0
20|20|0.05,5,1,543.0
20|20|0.05,5,2,543.0
20|20|0.05,5,3,520.0
20|20|0.05,5,4,520.0
20|20|0.05,5,5,520.0
20|20|0.05,5,6,520.0
20|20|0.05,5,7,503.0
20|20|0.05,5,8,477.0
20|20|0.05,5,9,477.0
20|20|0.05,5,10,473.0
20|20|0.05,5,11,473.0
20|20|0.05,5,12,466.0
20|20|0.05,5,13,466.0
20|20|0.05,5,14,449.0
20|20|0.05,5,15,410.0
20|20|0.05,5,16,410.0
20|20|0.05,5,17,410.0
20|20|0.05,5,18,406.0
20|20|0.05,5,19,406.0
20|20|0.05,6,0,545.0
20|20|0.05,6,1,536.0
20|20|0.05,6,2,426.0
20|20|0.05,6,3,426.0
20|20|0.05,6,4,426.0
20|20|0.05,6,5,420.0
20|20|0.05,6,6,420.0
20|20|0.05,6,7,420.0
20|20|0.05,6,8,420.0
20|20|0.05,6,9,420.0
20|20|0.05,6,10,420.0
20|20|0.05,6,11,412.0
20|20|0.05,6,12,412.0
20|20|0.05,6,13,411.0
20|20|0.05,6,14,377.0
20|20|0.05,6,15,371.0
20|20|0.05,6,16,371.0
20|20|0.05,6,17,371.0
20|20|0.05,6,18,371.0
20|20|0.05,6,19,371.0
20|20|0.05,7,0,591.0
20|20|0.05,7,1,591.0
20|20|0.05,7,2,497.0
20|20|0.05,7,3,492.0
20|20|0.05,7,4,474.0
20|20|0.05,7,5,474.0
20|20|0.05,7,6,472.0
20|20|0.05,7,7,472.0
20|20|0.05,7,8,472.0
20|20|0.05,7,9,472.0
20|20|0.05,7,10,472.0
20|20|0.05,7,11,451.0
20|20|0.05,7,12,451.0
20|20|0.05,7,13,451.0
20|20|0.05,7,14,451.0
20|20|0.05,7,15,451.0
20|20|0.05,7,16,433.0
20|20|0.05,7,17,433.0
20|20|0.05,7,18,428.0
20|20|0.05,7,19,428.0
20|20|0.05,8,0,502.0
20|20|0.05,8,1,502.0
20|20|0.05,8,2,502.0
20|20|0.05,8,3,502.0
20|20|0.05,8,4,442.0
20|20|0.05,8,5,442.0
20|20|0.05,8,6,442.0
20|20|0.05,8,7,442.0
20|20|0.05,8,8,442.0
20|20|0.05,8,9,437.0
20|20|0.05,8,10,437.0
20|20|0.05,8,11,404.0
20|20|0.05,8,12,404.0
20|20|0.05,8,13,404.0
20|20|0.05,8,14,404.0
20|20|0.05,8,15,404.0
20|20|0.05,8,16,404.0
20|20|0.05,8,17,404.0
20|20|0.05,8,18,404.0
20|20|0.05,8,19,404.0
20|20|0.05,9,0,583.0
20|20|0.05,9,1,545.0
20|20|0.05,9,2,545.0
20|20|0.05,9,3,492.0
20|20|0.05,9,4,492.0
20|20|0.05,9,5,492.0
20|20|0.05,9,6,492.0
20|20|0.05,9,7,492.0
20|20|0.05,9,8,488.0
20|20|0.05,9,9,488.0
20|20|0.05,9,10,467.0
20|20|0.05,9,11,467.0
20|20|0.05,9,12,467.0
20|20|0.05,9,13,467.0
20|20|0.05,9,14,462.0
20|20|0.05,9,15,462.0
20|20|0.05,9,16,442.0
20|20|0.05,9,17,399.0
20|20|0.05,9,18,399.0
20|20|0.05,9,19,399.0
20|20|0.1,0,0,539.0
20|20|0.1,0,1,539.0
20|20|0.1,0,2,480.0
20|20|0.1,0,3,480.0
20|20|0.1,0,4,480.0
20|20|0.1,0,5,473.0
20|20|0.1,0,6,473.0
20|20|0.1,0,7,473.0
20|20|0.1,0,8,466.0
20|20|0.1,0,9,466.0
20|20|0.1,0,10,466.0
20|20|0.1,0,11,466.0
20|20|0.1,0,12,459.0
20|20|0.1,0,13,448.0
20|20|0.1,0,14,420.0
20|20|0.1,0,15,420.0
20|20|0.1,0,16,420.0
20|20|0.1,0,17,420.0
